,names,address,phone,web,description,category,city,link,long,lat,principal
10,Adorarte,"4a. calle 23-40, Kaminal Juyu 1",tel:+(502) 2474-0562,,"Adorarte es una Academia Cristiana de Baile nuestra visión es ser un canal de Dios para preparar adoradores en espíritu y verdad que sean formados y levantados como líderes y ministros de Dios avivando sus dones y talentos. Equipando sus tres áreas: espíritu, alma y cuerpo, alcanzando así una relación personal y genuina con El amado y cumplir con excelencia la edificación del cuerpo de Cristo y la gran comisión.",Academias de Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/4A+Calle+23-80,+Cdad.+de+Guatemala,+Guatemala/@14.6270527,-90.560624,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1ba4cebcf21:0x1099948b51bcb2e5!8m2!3d14.6270529!4d-90.5518692",-90.560624,14.6270527,"{'type': 'Point', 'coordinates': ['-90.560624', '14.6270527']}"
11,ADS Z15,1 Calle 18-53  Vista Hermosa 2,tel:+(502) 2369-0153,,"ADS Z15 encontrarás el lugar perfecto en donde el arte del movimiento se volverá tu adicción, todo en un lugar en donde te podrás moverte con toda libertad en nuestros diferentes bailes que enseñaremos en nuestra academia.",Academias de Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/1+Calle+18-53,+Cdad.+de+Guatemala,+Guatemala/@14.592571,-90.5032818,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3a3a2c5d933:0x24b1a8a8625faa83!8m2!3d14.5925712!4d-90.494527",-90.5032818,14.592571,"{'type': 'Point', 'coordinates': ['-90.5032818', '14.592571']}"
12,Akasha Yoga Centro Holístico,8a. Calle 28-00 Zona 11,tel:+(502) 2473-7844,https://directorio.guatemala.com/listing_reports.php?report=website&id=415,"Akasha Yoga Centro Holístico, abre las puertas para ser un lugar donde se encuentran diferentes métodos para tener una vida integral, uniendo el bienestar emocional, espiritual, físico y mental.

Akasha, es el simbolismo del elemento éter o espacio, es una palabra escrita en sánscrito cuya raíz quiere decir brillar y a veces se aplica al cielo.","Yoga, TRX",Guatemala - Guatemala,"https://www.google.com/maps/place/Akasha+Yoga/@14.622321,-90.5713976,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1ad6e17ae2f:0xcb4791ed98b0f951!8m2!3d14.6223212!4d-90.5626428",-90.5713976,14.622321,"{'type': 'Point', 'coordinates': ['-90.5713976', '14.622321']}"
13,Alive Smart Fitness,Dg 6 12-42 Zona 10 Design Center L 211,(+502) 2206 8000,https://directorio.guatemala.com/listing_reports.php?report=website&id=292,"Brindamos una atmósfera amigable, espacios cómodos, seguros y servicio fantástico para practicar ejercicio inspirador. Sportfit, Alivefit, Yoga y HIIT one on one, son nuestros programas de ejercicio diseñados para motivar hasta aquellos que el ejercicio nunca ha sido su fuerte.

Adicionalmente a las áreas de entrenamiento, contamos un un restaurante de comida ligera y saludable el ""KIWI Lounge"" y vestidores limpios y elegantes que harán que disfrutes cada visita a Alive al máximo.","Pilates, TRX, Yoga, Pesas",Guatemala - Guatemala,"https://www.google.com/maps/place/Alive+Gimnasio+Boutique/@14.5986908,-90.5175638,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3c6323168c9:0x8804bba56313c766!8m2!3d14.598691!4d-90.508809",-90.5175638,14.5986908,"{'type': 'Point', 'coordinates': ['-90.5175638', '14.5986908']}"
14,All Gym,6 C. C 4-12 Z 9 2 Niv. Los Cerezos I,(+502) 4326 4790,,,deportes,Quetzaltenango - Quetzaltenango,"https://www.google.com/maps/place/CEREZOS+I/@14.8483462,-91.5530997,15z/data=!3m1!4b1!4m5!3m4!1s0x858e98239a83bbb5:0x630d500f8c5221b5!8m2!3d14.8483464!4d-91.5443449",-91.5530997,14.8483462,"{'type': 'Point', 'coordinates': ['-91.5530997', '14.8483462']}"
15,AMSI CrossFit,"8a. avenida, 9-28, San Cristóbal, Zona 8 de Mixco",2480 1592,https://www.facebook.com/brauathletics/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/AMSI+Crossfit/@14.600928,-90.603891,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a084c3a25949:0x35ba1a42ad3f5e35!8m2!3d14.6009282!4d-90.5951362",-90.603891,14.600928,"{'type': 'Point', 'coordinates': ['-90.603891', '14.600928']}"
16,Ananda Yoga Estudio,Diagonal 6 13-63 Zona 10,tel:+(502) 3025-5117,https://directorio.guatemala.com/listing_reports.php?report=website&id=1374,"Ananda proviene del sanscrito ""felicidad suprema"" y representa una parte esencial de la vida y lo que busacmos para encontrar esa conexión interna.",Yoga,Guatemala - Guatemala,"https://www.google.com/maps/place/Ananda+Yoga+Estudio+Guatemala/@14.6054073,-90.5194629,15z/data=!4m8!1m2!2m1!1sAnanda+Yoga+Estudio!3m4!1s0x0:0x29cb0992fdc42d67!8m2!3d14.5971331!4d-90.5070394",-90.5194629,14.6054073,"{'type': 'Point', 'coordinates': ['-90.5194629', '14.6054073']}"
17,Ananda Yoga Estudio,Diagonal 6 13-63 Zona 10,tel:+(502) 3025-5117,https://directorio.guatemala.com/listing_reports.php?report=website&id=1374,"Ananda proviene del sanscrito ""felicidad suprema"" y representa una parte esencial de la vida y lo que busacmos para encontrar esa conexión interna.",Yoga,Guatemala - Guatemala,"https://www.google.com/maps/place/Ananda+Yoga+Studio/@14.6054073,-90.5194629,15z/data=!4m8!1m2!2m1!1sAnanda+Yoga+Estudio!3m4!1s0x0:0x44ff42174b777ca8!8m2!3d14.6136822!4d-90.5143753",-90.5194629,14.6054073,"{'type': 'Point', 'coordinates': ['-90.5194629', '14.6054073']}"
18,Aquatic Center,Km 15.5 Carretera A El Salvador Lote 1L Puerta Parada,(+502) 5217 8526,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/search/Km+15.5+Carretera+A+El+Salvador+Lote+1L+Puerta+Parada/@14.5558898,-90.4562319,17.34z",-90.4562319,14.5558898,"{'type': 'Point', 'coordinates': ['-90.4562319', '14.5558898']}"
19,Aquatic Center,Mixco,,,,,,"https://www.google.com/maps/place/Aquatic+Center+Mixco/@14.6159291,-90.6854083,11z/data=!4m8!1m2!2m1!1sAquatic+Center!3m4!1s0x0:0x9e44c3132ace603c!8m2!3d14.6184681!4d-90.6116295",-90.6854083,14.6159291,"{'type': 'Point', 'coordinates': ['-90.6854083', '14.6159291']}"
20,Aquatic Center,"12 Avenida A 0-64, Cdad. de Guatemala 01007, Guatemala",,,,,,"https://www.google.com/maps/place/Aquatic+Center/@14.6159802,-90.6111838,12.09z/data=!4m8!1m2!2m1!1sAquatic+Center!3m4!1s0x8589a1a34903474b:0x65f5ac05ecbe0586!8m2!3d14.622638!4d-90.548419",-90.6111838,14.6159802,"{'type': 'Point', 'coordinates': ['-90.6111838', '14.6159802']}"
21,Aquatic Center,Villanueva,,,,,,"https://www.google.com/maps/place/Aquatic+Center/@14.6159291,-90.6854083,11z/data=!4m8!1m2!2m1!1sAquatic+Center!3m4!1s0x0:0x396e4c0c23cca9da!8m2!3d14.5427946!4d-90.6010723",-90.6854083,14.6159291,"{'type': 'Point', 'coordinates': ['-90.6854083', '14.6159291']}"
22,Armonia Colonial,Boulevard Principal 23 Calle 18-96 Col. Villa Hermosa I Loc. 8 Z 7 Sn Mig P,(+502) 2448 2553,,,Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/armoniacolonial+com/@14.6276431,-90.5317727,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a226dd903e1b:0x48e43619c558d3b2!8m2!3d14.6276433!4d-90.5230179",-90.5317727,14.6276431,"{'type': 'Point', 'coordinates': ['-90.5317727', '14.6276431']}"
23,Asha Shala,5a. Avenida 20-42 Zona 14,tel:+(502) 2367-2698,https://directorio.guatemala.com/listing_reports.php?report=website&id=757,"Aquí puedes encontrar la herramienta que necesitas para una sanación física, psicológica y espiritual. 

Ofrecemos Yoga, Qi Cong, Shiatsu, Medicina China, Acupuntra, Network Spinal Analysis, Baras, Reiki, Consulta de Numerología, Cartas Astrales, Café y Tienda de Yoga.",Yoga,Guatemala - Guatemala,"https://www.google.com/maps/place/Dharma+Healing+Clinic/@14.5726183,-90.5256627,16.36z/data=!4m5!3m4!1s0x8589a3fcf137b70b:0x59902e793217821a!8m2!3d14.5740878!4d-90.5226123",-90.5256627,14.5726183,"{'type': 'Point', 'coordinates': ['-90.5256627', '14.5726183']}"
24,Asociación De Pentatlon Moderno,3A Cl 16-15 Zona 15,(+502) 2369 4468,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Pentatlon+Moderno+Guatemala/@14.6099564,-90.5009944,16z/data=!4m8!1m2!2m1!1sAsociaci%C3%B3n+De+Pentatlon+Moderno!3m4!1s0x8589a3b02c7dc707:0x997b2d6e17b9d61e!8m2!3d14.6026877!4d-90.4977536",-90.5009944,14.6099564,"{'type': 'Point', 'coordinates': ['-90.5009944', '14.6099564']}"
25,Asociacion Nacional De Vuelo Libre De Guatemala,10 Calle 2-28 Z 9 Casa de la Cultura,(+502) 2385 1221,www.vuelolibre.com.gt,"Promover la práctica del vuelo libre como herramienta de desarrollo de la cultura física en los ciudadanos guatemaltecos y mejorando su calidad de vida.
La Asociación Deportiva Nacional de Vuelo Libre,  se enorgullece de representar dignamente a nuestro país Guatemala,  integrando y alentando a las personas a participar abiertamente en el Deporte de Ala Delta y/o Parapente.",aviacion,Guatemala - Guatemala,"https://www.google.com/maps/place/Asociaci%C3%B3n+Nacional+de+Vuelo+Libre+de+Guatemala/@14.5921646,-90.5394186,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a14ecbf85c61:0x50954a57a909b258!8m2!3d14.5921648!4d-90.5306638",-90.5394186,14.5921646,"{'type': 'Point', 'coordinates': ['-90.5394186', '14.5921646']}"
26,Balance Concept Zona 13,Avenida Las Americas 19-30 Zona 13,(+502) 5809 1997,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Avenida+Las+Americas+1930,+Cdad.+de+Guatemala,+Guatemala/@14.5770165,-90.5322891,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3e2d665729b:0xc88f57d824a7109!8m2!3d14.5770167!4d-90.5235343",-90.5322891,14.5770165,"{'type': 'Point', 'coordinates': ['-90.5322891', '14.5770165']}"
27,Ballet Nacional De Guatemala,5 Cl 03-43 Z 1,(+502) 2253 3118,http://balletnacionaldeguatemala.blogspot.com,,ballet,Guatemala - Guatemala,"https://www.google.com/maps/place/Ballet+Nacional+de+Guatemala/@14.6438192,-90.5247982,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2107e7fd0d9:0xddd986095ce4588a!8m2!3d14.6438194!4d-90.5160434",-90.5247982,14.6438192,"{'type': 'Point', 'coordinates': ['-90.5247982', '14.6438192']}"
28,Big Mountain (Miraflores),5 Av B 3-15 Zona 9,(+502) 2470 8393,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Big+Mountain/@14.6119208,-90.5278258,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a342e6e26713:0x26fccec478daa6d3!8m2!3d14.611921!4d-90.519071",-90.5278258,14.6119208,"{'type': 'Point', 'coordinates': ['-90.5278258', '14.6119208']}"
29,Bilanz,18 Calle 20-70 Zona 10,tel:+(502) 2363-6392,,"Bilanz Pilates pretende que las personas que se ejercitan con nosotros adquieran un estilo de vida saludable.

Una buena salud física y mental es necesaria para vivir bien, de esta forma se mejora en las actividades de la vida diaria, se siente felicidad y se transmite positivismo.",Pilates TRX,Guatemala - Guatemala,"https://www.google.com/maps/place/Bilanz+Pilates/@14.58954,-90.5163053,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3d13d3f451f:0x1a1a5f7641676ce4!8m2!3d14.5895402!4d-90.5075505",-90.5163053,14.58954,"{'type': 'Point', 'coordinates': ['-90.5163053', '14.58954']}"
30,Billar Club,12 Calle 1-25 Zona 10; Local 3,(+502) 2366 1712,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Billar+Club+Punto+5/@14.6009844,-90.5234301,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a38c615b10cd:0xaba3b66d3cb51ff8!8m2!3d14.6009846!4d-90.5146753",-90.5234301,14.6009844,"{'type': 'Point', 'coordinates': ['-90.5234301', '14.6009844']}"
31,Boom Gym,"15 Avenida 6-01, Century Plaza Nivel 4 Local 403",tel:+(502) 2362-0708,https://directorio.guatemala.com/listing_reports.php?report=website&id=15128,"En Boom Gym nuestro personal está altamente capacitado con certificados obtenidos en los EEUU. Contamos con herramientas nunca antes vistas en Guatemala para mejorar la condición física. 

Boom Gym es la herramienta mas rústica, efectiva y exigente del planeta. Se enfoca en crear resistencia, moldeando y fortaleciendo casi todos los músculos del cuerpo. Incrementa flexibilidad, fuerza y tonifica los músculos.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Century+Plaza/@14.5847303,-90.5282579,15z/data=!4m5!3m4!1s0x8589a3ddd91eeb05:0x806062e8ba47e6e1!8m2!3d14.5901204!4d-90.5209146",-90.5282579,14.5847303,"{'type': 'Point', 'coordinates': ['-90.5282579', '14.5847303']}"
32,Boom Kettlebell Plaza Varietá,Blvd. Landívar Zona 16,tel:+(502) 2333-9772,https://directorio.guatemala.com/listing_reports.php?report=website&id=289,"Nuestro personal es altamente capacitado con certificados obtenidos en los EEUU. Contamos con herramientas nunca antes vistas en Guatemala para mejorar la condición física. 

Boom Kettlebell incrementa la flexibilidad, fuerza y tonifica los músculos. Fortalece las articulaciones convirtiéndolo en una excelente herramienta para cualquier deporte o terapia de recuperación de lesiones, además de ser excelente para tratar y corregir la espalda y postura en general.","TRX, Calisthenia",Guatemala - Guatemala,"https://www.google.com/maps/place/Banco+Industrial/@14.6092788,-90.4992235,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3ab004eb84b:0xfabc57beac09d9bc!8m2!3d14.609279!4d-90.4904687",-90.4992235,14.6092788,"{'type': 'Point', 'coordinates': ['-90.4992235', '14.6092788']}"
33,Boom Kettlebell-Gym Carretera a El Salvador,Kilómetro 14.1 Carretera a El Salvador Centro,tel:+(502) 2339-5844,https://directorio.guatemala.com/listing_reports.php?report=website&id=15126,"En Boom Kettlebell-Gym Carretera a El Salvador nuestro personal está altamente capacitado con certificados obtenidos en los EEUU. Contamos con herramientas nunca antes vistas en Guatemala para mejorar la condición física. 

Boom Kettlebell-Gym Carretera a El Salvador es la herramienta mas rústica, efectiva y exigente del planeta. Se enfoca en crear resistencia, moldeando y fortaleciendo casi todos los músculos del cuerpo. Incrementa flexibilidad, fuerza y tonifica los músculos.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Boom+Kettlebell-Gym/@14.5832395,-90.5088124,14z/data=!4m8!1m2!2m1!1sBoom+Kettlebell-Gym+Carretera+a+El+Salvador!3m4!1s0x0:0xf97f9484a95fdc27!8m2!3d14.5850734!4d-90.4861128",-90.5088124,14.5832395,"{'type': 'Point', 'coordinates': ['-90.5088124', '14.5832395']}"
34,Boom Kettlebell-Gym Majadas,"Plazas Outlet, Majadas",tel:+(502) 2473-7794,https://directorio.guatemala.com/listing_reports.php?report=website&id=15124,"En Boom Kettlebell-Gym Majadas nuestro personal es altamente capacitado con certificados obtenidos en los EEUU. Contamos con herramientas nunca antes vistas en Guatemala para mejorar la condición física. 

Boom Kettlebell-Gym Majadas es la herramienta mas rústica, efectiva y exigente del planeta. Se enfoca en crear resistencia, moldeando y fortaleciendo casi todos los músculos del cuerpo. Incrementa flexibilidad, fuerza y tonifica los músculos.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Las+Plazas+Majadas/@14.6222578,-90.5712918,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1ad427cce21:0x4661c553bf198bc6!8m2!3d14.622258!4d-90.562537",-90.5712918,14.6222578,"{'type': 'Point', 'coordinates': ['-90.5712918', '14.6222578']}"
35,Boom Kettlebell-Gym Zona 10,"Boulevard Los Próceres, Plaza Las Cañas, Sótano 1",tel:+(502) 2337-3613,https://directorio.guatemala.com/listing_reports.php?report=website&id=15122,"En Boom Kettlebell-Gym Zona 10 nuestro personal es altamente capacitado con certificados obtenidos en los EEUU. Contamos con herramientas nunca antes vistas en Guatemala para mejorar la condición física. 

Boom Kettlebell-Gym Zona 10 es la herramienta mas rústica, efectiva y exigente del planeta. Se enfoca en crear resistencia, moldeando y fortaleciendo casi todos los músculos del cuerpo. Incrementa flexibilidad, fuerza y tonifica los músculos.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Boom+Kettlebell+Gym/@14.5832395,-90.5088124,14z/data=!4m8!1m2!2m1!1sboom+kettlebell+gym+majadas!3m4!1s0x0:0x90c2094ec169d77c!8m2!3d14.581403!4d-90.496493",-90.5088124,14.5832395,"{'type': 'Point', 'coordinates': ['-90.5088124', '14.5832395']}"
36,Brau Athletics CrossFit,"Plaza Empresarial Muxbal, Santa Catarina Pinula",2441 9008,https://www.facebook.com/crossfitspringcity7/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Plaza+Empresarial+Muxbal/@14.5832395,-90.5088124,14z/data=!4m5!3m4!1s0x8589a309e1c4552f:0x5613910964de6a91!8m2!3d14.5698431!4d-90.4856201",-90.5088124,14.5832395,"{'type': 'Point', 'coordinates': ['-90.5088124', '14.5832395']}"
37,Club Atletico Atenas,Diagonal 14. 22-06 Zona 5,(+502) 2335 3680,http://www.clubatenas.com,,Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Gimnasio+Atenas/@14.6252859,-90.5069738,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2453b084beb:0x127e0945d865a604!8m2!3d14.6252861!4d-90.498219",-90.5069738,14.6252859,"{'type': 'Point', 'coordinates': ['-90.5069738', '14.6252859']}"
38,Club La Villa,20 Avenida 8-81,(+502) 2333 7324,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Club+la+Villa/@14.5803977,-90.5120698,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a393c63f1cbf:0x2f7e496587534948!8m2!3d14.5803979!4d-90.503315",-90.5120698,14.5803977,"{'type': 'Point', 'coordinates': ['-90.5120698', '14.5803977']}"
39,Club Municipal,2 Calle 15-95 Zona 13,(+502) 2333 0037,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/2+Calle+15,+Cdad.+de+Guatemala,+Guatemala/@14.5872527,-90.5148594,16.14z/data=!4m5!3m4!1s0x8589a3c200686951:0x72efec7bc08adf75!8m2!3d14.5885445!4d-90.5122628",-90.5148594,14.5872527,"{'type': 'Point', 'coordinates': ['-90.5148594', '14.5872527']}"
40,Core Yoga,1ra Avenida 11-50 zona 10,tel:+(502) 5966-5906,https://directorio.guatemala.com/listing_reports.php?report=website&id=52188,Core Yoga es una plataforma de encuentro y exploración a través de la conexión entre el cuerpo y mente.  Practicamos diferentes estilos del yoga pero nos concentramos en el área sensorial para expandir el Kundalini y usar la energía conscientemente.,Yoga,Guatemala - Guatemala,"https://www.google.com/maps/place/Universo+Core/@14.6016793,-90.5243739,15z/data=!4m8!1m2!2m1!1s1ra+Avenida+11-50+zona+10+guatemala!3m4!1s0x8589a3cfc49b3c2d:0xdcb9de99b78232cd!8m2!3d14.6017763!4d-90.5156339",-90.5243739,14.6016793,"{'type': 'Point', 'coordinates': ['-90.5243739', '14.6016793']}"
41,Cosenza Academy,"Km 18.9 Carretera A San José Pinula, C.C. la Plazoleta Ciudad de Guatemala",(+502) 6637 5035,www.cosenzaacademy.com,"Buscamos poder contribuir a la formación integral de tu familia.la única escuela certificada en Guatemala de Jiu-jitsu por la Gracie University de Torrance, California.
Ofrecemos programas certificados,  normados y acreditados en defensa personal Karate,  Gracie,  Jiu - Jitsu,  MMA,  ArtesMarciales Mixtas,  Defensa Para Mujeres,  Antibullying,  Defensa Para Niños,  Jiu - Jitsu para niños.Plan Débito Automático (Inscripción Gratis)",artes marciales,San José Pinula - Guatemala,"https://www.google.com/maps/place/Cosenza+Academy/@14.5447783,-90.4189167,15z/data=!3m1!4b1!4m5!3m4!1s0x8589bb147979a551:0xdab68263c97d8aff!8m2!3d14.5447785!4d-90.4101619",-90.4189167,14.5447783,"{'type': 'Point', 'coordinates': ['-90.4189167', '14.5447783']}"
