,names,city,address,phone,web,description,category
10,Scandinavia - Aguilar Batres,Guatemala - Guatemala,"Calzada Aguilar Batres14-07, Zona 12",Teléfonos: 2459-2586 y 2377-3013,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
11,Scandinavia - Vista Hermosa,Guatemala - Guatemala,Boulevard Vista Hermosa 21-95 zona 15,Teléfonos: 2277-9296 y 2369-1018,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
12,Scandinavia - Carretera a El Salvador,Guatemala - Guatemala,"Km. 16.5, Carretera a El Salvador Salida a San José Pinula",Teléfonos: 2277-9297 y 6634-0633,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
13,Scandinavia - Metronorte ,Guatemala - Guatemala,Centro Comercial Metronorte,Teléfonos: 2269 5605,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
14,Scandinavia - San Rafael,Guatemala - Guatemala,"km. 7.5 Carretera a El Atlántico zona 18, c.c. San Rafael, local #90",Teléfonos: 2267 2919,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
15,Scandinavia - El Frutal,Guatemala - Guatemala,"Centro Comercial El Frutal, Villa Nueva",Teléfonos: 3502 1704,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
16,Scandinavia - Antigua Guatemala,Guatemala - Guatemala,7a Calle Poniente #34,Teléfonos: 7832 6763,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
17,Scandinavia - Xela ,Guatemala - Guatemala,"Avenida Las Américas 11-50 Zona 3 Condado Santa María Local 8, Quetzaltenango",Teléfonos: 7763 7802,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
18,Scandinavia - San Cristobal,Guatemala - Guatemala,Centro Comercial Arkadia zona 10,Teléfonos: 2478 1566,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
19,Scandinavia - El Naranjo,Guatemala - Guatemala,Condado Naranjo,Teléfonos: 2212 7513,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
20,Scandinavia - Galerías Primma,Guatemala - Guatemala,Centro Comercial Galerías Primma,Teléfonos: 2474 2815,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
21,Scandinavia - Arkadia Premium,Guatemala - Guatemala,Centro Comercial Arkadia zona 10,Teléfonos: 2211 0046,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
22,Scandinavia - Zona 5,Guatemala - Guatemala,"39 calle 21 07, zona 5 (atrás de Paiz)",Teléfonos: 2335 7683,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
23,Scandinavia - San Lucas,Guatemala - Guatemala,"Centro Comercial El Sauce, San Lucas Sacatepéquez",Teléfonos: 7830 1641,https://www.scandinaviagym.com/,Cadena de 14 gimnasios. Siempre Cerca de Ti. Amplios Horarios. En las principales ciudades de Guatemala.,Gimnasios de Educación Física
24,Smart Fit - El Naranjo,Guatemala - Guatemala," Plaza Kalú, locales R2-R5 - 23 calle 14-50 Zona 4 de Mixco - Condado El Naranjo Mixco, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
25,Smart Fit - Tikal Futura,Guatemala - Guatemala," Calzada Roosevelt 23-43 -  Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
26,Smart Fit - QUO Zona 4 ,Guatemala - Guatemala," Via 7, 4-20, Zona 4, Torre Q, Segundo Nivel, Guatemala  -  Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
27,Smart Fit - Los Próceres,Guatemala - Guatemala,"  3ª Avenida 16-52, Z.10 -  Centro Comercial Los Próceres Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
28,Smart Fit - Rambla,Guatemala - Guatemala," Centro Comercial Rambla 10 - Boulevar Los Próceres 25-76 Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
29,Smart Fit - Metrocentro Villa Nueva,Guatemala - Guatemala," Centro Comercial Metrocentro local L103 -  0 Calle 16-20, Zona 4 - Villa Nueva Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
30,Smart Fit - Metroplaza Carr. a El Salvador,Guatemala - Guatemala," Km 13.1  - Carr. a El Salvador, Local 208 Ciudad de Guatemala, GU - Guatemala",,https://www.smartfit.com.gt/,"Inaugurada en 2009, Smart Fit fue creada con el propósito de democratizar el acceso a la práctica de actividad física de alto nivel, con planes accesibles y adhesión facilitada.",Gimnasios de Educación Física
31,Poltec - CC METRONORTE,Guatemala - Guatemala,"Km. 5 Carretera al Atlántico Zona 17, Guatemala Guatemala", 2256-0882 ,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
32,Poltec - CC PLAZA SAN RAFAEL,Guatemala - Guatemala,Ruta al Atlántico CC. Plaza San Rafael Zona 18 Guatemala, 2261-6391,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
33,Poltec - CC GRAN PORTAL PETAPA,Guatemala - Guatemala,"45 Calle 19-40, zona 12, C. C. Gran Portal Petapa ", 2460-3185,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
34,Poltec - CC ASIA MALL (ROOSEVELT),Guatemala - Guatemala,Calzada Roosevelt 13-88, 24743214 ,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
35,Poltec - CC SANTA CLARA,Guatemala - Guatemala,"Km. 17.5 Pacifico, Terreno #6, C.C. Santa Clara, Villa Nueva., Guatemala 01011, Guatemala", 6644-8279 ,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
36,Poltec - CC EL FARO,Guatemala - Guatemala,"Dirección: Km. 17.9 Carretera a San Jose Pinula, Centro Comercial Local 14, El Faro", 6637-4927,http://www.poltecgym.com/,"El ejercicio es parte importante de un estilo de vida saludable. El ejercicio previene los problemas de salud, desarrolla resistencia, brinda más energía y puede ayudar a reducir el estrés.",Gimnasios de Educación Física
37,Curves - Reforma Zona 15,Guatemala - Guatemala,1a calle 22-13 zona 15 Vista Hermosa II C.P. 10115 ,Teléfonos: (502) 2369 2622 | (502) 2369 2644 | (502) 4010 8759,https://www.curveslatinoamerica.com/guatemala.html#,"Curves es un gimnasio para mujeres, la franquicia ofrece un programa de perdida de peso saludable y razonable.",Gimnasios de Educación Física
38,Curves - Quetzaltenango,Guatemala - Guatemala,"Avenida 9-66 Zona 3, Plaza Delco C.P. 9001 ",Teléfono: (502) 7763 6831,https://www.curveslatinoamerica.com/guatemala.html#,"Curves es un gimnasio para mujeres, la franquicia ofrece un programa de perdida de peso saludable y razonable.",Gimnasios de Educación Física
39,Full Contact Studio,Guatemala - Guatemala,2 C 10-06 Z-1,(+502) 2232 6575,,,Gimnasios de Educación Física
40,Club Atletico Atenas,Guatemala - Guatemala,Diagonal 14. 22-06 Zona 5,(+502) 2335 3680,http://www.clubatenas.com,,Gimnasios de Educación Física
41,Le Petit Spa,Guatemala - Guatemala,Dg 6 14-86 Z 10,(+502) 2366 7508,http://www.lepetitspagt.com,,Gimnasios de Educación Física
42,Madiel Spa,Guatemala - Guatemala,Av las Americas 7-30 Z 13 Edif Real América L 3d 3 Nivel,(+502) 2360 5070,http://www.madielspa.es.tl,,Gimnasios de Educación Física
43,Armonia Colonial,Guatemala - Guatemala,Boulevard Principal 23 Calle 18-96 Col. Villa Hermosa I Loc. 8 Z 7 Sn Mig P,(+502) 2448 2553,,,Gimnasios de Educación Física
44,Fitness One,Guatemala - Guatemala,Boulevard Los Próceres 25-74 Zona 10,(+502) 2423 6000,,,Gimnasios de Educación Física
45,Dr. Spa,Amatitlán - Guatemala,Kilómetro 29.5 Centro Comercial Flores del Lago Nivel 3 Local 4 Amatitlán,(+502) 6632 9534,,,Gimnasios de Educación Física
46,Zona Libre,Huehuetenango - Huehuetenango,2 Avenida A 1-53 zona 3 Huehuetenango,(+502) 4284 9059,,,Gimnasios de Educación Física
47,Solaz Sauna Y Masaje,Jocotenango - Sacatepequez,Diagonal 1 Número 34 Zona 4 Jocotenango Sacatepequez,(+502) 5588 2533,,,Gimnasios de Educación Física
48,Massage Spa,Guatemala - Guatemala,3 Calle 8-76 Zona 8 De Mixco Boulevard Principal Edicifio Centro Empresarial,(+502) 2480 7042,,,Gimnasios de Educación Física
49,Squash Zone,Guatemala - Guatemala,10 Avenida 10-50 Zona 14,(+502) 5580 1015,,,Gimnasios de Educación Física
50,Sforzo Gym,Guatemala - Guatemala,Calzada Roosevelt 12-25 Zona 11,(+502) 2440 2489,,,Gimnasios de Educación Física
51,La Farfalla,Guatemala - Guatemala,Boulevard Principal 3 Calle 8-88 Zona 8 Mixco Cd. San Cristobal,(+502) 2322 3100,http://www.facebook.com/spa.farfalla,,Gimnasios de Educación Física
52,Nova Spa Estetico,Guatemala - Guatemala,"Boulevar Los Proceres 25-74, zona 10 Guatemala",(+502) 4110 3089,,,Gimnasios de Educación Física
53,San Silvestre Spa Sauna Y Jacuzzi,Guatemala - Guatemala,1 Av Cl A 4-64 Z 7 Almolonga Quetzaltenango,(+502) 7766 8587,,,Gimnasios de Educación Física
54,Sporta Guatemala S.A.,Guatemala - Guatemala,KM 18.5 CARRET A EL SALVADOR,(+502) 6625 9100,,,Gimnasios de Educación Física
55,Vmedical Spa,Guatemala - Guatemala,3 Cl A 8-38 Edif Renova Z 10 3 Nivel,(+502) 3006 3604,,,Gimnasios de Educación Física
56,Fiore,Guatemala - Guatemala,Av Americas 9-55 Plaza Oro L 10,(+502) 2366 7166,,,Gimnasios de Educación Física
57,Hostal Los Volcanes,Guatemala - Guatemala,16 Calle 8-00 Zona 13 Aurora 1,(+502) 2360 3232,,,Gimnasios de Educación Física
58,Prodepsa Gimnasio,Guatemala - Guatemala,10 Av 10-50 Z 14 C.C. Plaza Futeca L 21,(+502) 2366 8054,,,Gimnasios de Educación Física
59,San Gregorio Hotel Y Spa,Guatemala - Guatemala,Km 30.5 Carrt A Santa Elena Barillas Lt 50 Lotificación San Gregorios Vista al Lago,(+502) 6634 3666,http://www.sangregoriospa.com,,Gimnasios de Educación Física
60,World Gym (San Cristobal),Guatemala - Guatemala,3a Cl 62-72 Sector A 3 Boulevar San Cristobal Z 8 Mixco C.C. Sankrismol,(+502) 2423 6000,http://www.fitnessone.com,,Gimnasios de Educación Física
61,Carla S Salón & Day Spa,Guatemala - Guatemala,Av 21 A 0-97 Z 15 Vista Hermosa 2,(+502) 2365 7944,,,Gimnasios de Educación Física
62,Beauty Clinic Salon Y Day Spa,Guatemala - Guatemala,Av 21 9-05 Z 11 Mirador 1,(+502) 2474 3609,,,Gimnasios de Educación Física
63,Cy Sport,Guatemala - Guatemala,5 Cl Z 6 V. Nueva Czda Concepcion Plz Villa Nueva,(+502) 6636 6452,,,Gimnasios de Educación Física
64,Fut Y Pub,Quetzaltenango - Quetzaltenango,C.C. Las Americas Int. Profutbol Xela 8 Calle 0-90 Zona 9,(+502) 7763 5077,,,Gimnasios de Educación Física
65,Icom Hitech,Guatemala - Guatemala,C.C. Gran Via Local 01 Zona 07,(+502) 2475 2508,,,Gimnasios de Educación Física
66,Libreria Y P.A.P. Oscar De León P.A.L.A. No. 5,Guatemala - Guatemala,7 Avenida 9-35 Zona 1,(+502) 2232 5060,,,Gimnasios de Educación Física
67,Pet Shop Don Diego,Guatemala - Guatemala,Manzana 2 Lote 8A San Rafael Buenavista Zona 18,(+502) 2242 6645,,,Gimnasios de Educación Física
68,Serviicasa,Escuintla - Escuintla,4 Av. 3-44 Zona 1,(+502) 7889 2196,,,Gimnasios de Educación Física
69,Wirenet (Quetzaltenango),Quetzaltenango - Quetzaltenango,29 Av. 8 A-26 Zona 7 Quetzaltenango,(+502) 7763 7474,,,Gimnasios de Educación Física
70,"Accounting Auditores & Consultores, S.A.",Guatemala - Guatemala,"Diagonal 6, 16-21 Zona 10 Guatemala",(+502) 2366 7342,,,Gimnasios de Educación Física
71,Alive Smart Fitness,Guatemala - Guatemala,Dg 6 12-42 Zona 10 Design Center L 211,(+502) 2206 8000,,,Gimnasios de Educación Física
72,Escuela Manejarte,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,,,Gimnasios de Educación Física
73,Lainfiesta Godoy S.A.,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,,,Gimnasios de Educación Física
74,Sistemas Litográficos,Guatemala - Guatemala,Aguilar Batres 37-95 Local 5 y 6 Plaza Solana Zona 12,(+502) 2476 9841,,,Gimnasios de Educación Física
75,Evolution Gym,Puerto Barrios - Izabal,5a Cl - 8a Av,,,,Gimnasios de Educación Física
76,Salud Y Belleza Integral,Guatemala - Guatemala,15 Calle 1-11 Edificio Terra Esperanza Nivel 10 Zona 10,(+502) 2300 0510,,,Gimnasios de Educación Física
77,Renueva Tu Figura Hoy,Guatemala - Guatemala,8 Avenida 40-59 Zona 8,(+502) 4207 8637,,,Gimnasios de Educación Física
78,Gimnasio Mega Gym,San Marcos - San Marcos,3 Av Zona 1 Cantón Pueblo Nuevo Pajapita,(+502) 4837 4071,,,Gimnasios de Educación Física
79,Monkey Business Calisthenics,Guatemala - Guatemala,5 Av 5-55 Z 14,(+502) 2366 5759,,,Gimnasios de Educación Física
80,Golden Clinic,Guatemala - Guatemala,"9a Cl 24-38, Zna 7 Plaza Castilla 2do. Nivel",(+502) 3526 5337,,,Gimnasios de Educación Física
81,Asociación De Pentatlon Moderno,Guatemala - Guatemala,3A Cl 16-15 Zona 15,(+502) 2369 4468,,,federaciones deportivas
82,Comite Olimpico Guatemalteco,Guatemala - Guatemala,10 Cl 2-28 Zona 9,(+502) 2223 9500,,,federaciones deportivas
83,Federación Nacional De Beisbol,Guatemala - Guatemala,Av Simeon Cañas Final Zona 2,(+502) 2254 1119,,,federaciones deportivas
84,Federación Nacional De Boxeo De Guatemala,Guatemala - Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,(+502) 2361 8263,,,federaciones deportivas
85,Federación Nacional De Esgrima C.D.A.G.,Guatemala - Guatemala,12 Av 25 Cl Zona 5,(+502) 2331 2680,,,federaciones deportivas
86,Federación Nacional De Remo Y Canotaje De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Zona 5,(+502) 2339 3376,,,federaciones deportivas
87,Federación Nacional De Voleibol,Guatemala - Guatemala,Gimnacio 7 De Diciembre Zona 5,(+502) 2434 4006,,,federaciones deportivas
88,Direccion General De Educacion Fisica,Guatemala - Guatemala,32 Cl 9-10 Zona 11,(+502) 2422 6800,,,federaciones deportivas
89,Federacion Nacional De Futbol,Guatemala - Guatemala,2 Cl 15-57 Zona 15,(+502) 2422 7777,,,federaciones deportivas
90,Federacion Nacional De Ciclismo De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Z.5,(+502) 2332 3979,,,federaciones deportivas
91,Federación Nacional De Balonmano,Guatemala - Guatemala,Av 14 18-13 Zona 13,(+502) 2493 4200,http://www.guatemalasnbalonmano.com,,federaciones deportivas
92,Federacion Nacional De Baloncesto,Guatemala - Guatemala,Gimnasio Nacional Teodoro Palacios Flores Z.5,(+502) 2361 9851,,,federaciones deportivas
93,Asociación De Pentatlon Moderno,Guatemala - Guatemala,3A Cl 16-15 Zona 15,(+502) 2369 4468,,,federaciones deportivas
94,Comite Olimpico Guatemalteco,Guatemala - Guatemala,10 Cl 2-28 Zona 9,(+502) 2223 9500,,,federaciones deportivas
95,Federación Nacional De Beisbol,Guatemala - Guatemala,Av Simeon Cañas Final Zona 2,(+502) 2254 1119,,,federaciones deportivas
96,Federación Nacional De Boxeo De Guatemala,Guatemala - Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,(+502) 2361 8263,,,federaciones deportivas
97,Federación Nacional De Esgrima C.D.A.G.,Guatemala - Guatemala,12 Av 25 Cl Zona 5,(+502) 2331 2680,,,federaciones deportivas
98,Federación Nacional De Remo Y Canotaje De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Zona 5,(+502) 2339 3376,,,federaciones deportivas
99,Federación Nacional De Voleibol,Guatemala - Guatemala,Gimnacio 7 De Diciembre Zona 5,(+502) 2434 4006,,,federaciones deportivas
100,Direccion General De Educacion Fisica,Guatemala - Guatemala,32 Cl 9-10 Zona 11,(+502) 2422 6800,,,federaciones deportivas
101,Federacion Nacional De Futbol,Guatemala - Guatemala,2 Cl 15-57 Zona 15,(+502) 2422 7777,,,federaciones deportivas
102,Federacion Nacional De Ciclismo De Guatemala,Guatemala - Guatemala,26 Cl 9-31 Z.5,(+502) 2332 3979,,,federaciones deportivas
103,Federación Nacional De Balonmano,Guatemala - Guatemala,Av 14 18-13 Zona 13,(+502) 2493 4200,http://www.guatemalasnbalonmano.com,,federaciones deportivas
104,Federacion Nacional De Baloncesto,Guatemala - Guatemala,Gimnasio Nacional Teodoro Palacios Flores Z.5,(+502) 2361 9851,,,federaciones deportivas
105,Dance Studio,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,http://www.dancestudio.com.gt,,ballet
106,Academia Scenic Dance,Guatemala - Guatemala,3 Avenida 14-19 Zona 14,(+502) 5204 7081,http://www.scenicdance.com,,ballet
107,Dance Studio S.A.,Guatemala - Guatemala,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,http://www.dancestudio.com.gt,,ballet
108,Ballet Nacional De Guatemala,Guatemala - Guatemala,5 Cl 03-43 Z 1,(+502) 2253 3118,http://balletnacionaldeguatemala.blogspot.com,,ballet
109,New Time Crew,Guatemala - Guatemala,6 Avenida 3-39 Nivel 3 Zona 1,(+502) 5922 7937,,,ballet
110,Estudio Internacional Awalim Danza Árabe,Guatemala - Guatemala,"3ra calle, 3-59 zona 1 La casona",(+502) 5280 2307,,,ballet
111,Olé Flamenco En Guatemala,Guatemala - Guatemala,Km 24.5 Carret el Salvador Condominio Joya de Oro Casa 17,(+502) 5770 7050,,,ballet
112,Academia Dance Vision,Guatemala - Guatemala,3 Cl 7-89 Zona 8 Mixco,(+502) 5851 1116,,,ballet
113,Al-Tamira - Quiero Clientes,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,,,ballet
114,Al-Tamira,Guatemala - Guatemala,3 Calle 7-89 Zona 8 Mixco,(+502) 5851 1116,,,ballet
115,Sky Dance Academy,Guatemala - Guatemala,Bul Tulmtzu 17 Av 2-15 C.C. Valle del Sol Z.4 Mixco,(+502) 2431 4113,http://www.skydancegt.com,,ballet
116,Metro Bowl,Guatemala - Guatemala,Cl 2 Bul Vista Hermosa 15-93 Zona 15,(+502) 2243 2424,http://www.metrobowl.com.gt,,boliche
117,Cosenza Academy,San José Pinula - Guatemala,"Km 18.9 Carretera A San José Pinula, C.C. la Plazoleta Ciudad de Guatemala",(+502) 6637 5035,www.cosenzaacademy.com,"Buscamos poder contribuir a la formación integral de tu familia.la única escuela certificada en Guatemala de Jiu-jitsu por la Gracie University de Torrance, California.
Ofrecemos programas certificados,  normados y acreditados en defensa personal Karate,  Gracie,  Jiu - Jitsu,  MMA,  ArtesMarciales Mixtas,  Defensa Para Mujeres,  Antibullying,  Defensa Para Niños,  Jiu - Jitsu para niños.Plan Débito Automático (Inscripción Gratis)",artes marciales
118,Trofeos Finos,Guatemala - Guatemala,18 Calle 12-79 Zona 7 de Mixco Colonia San Ignacio,(+502) 2434 5633,www.trofeosfinos.com,"Fabricamos de trofeos de resina tipo escultura, así como de medallas, plaquetas de madera y metal , pines, gafetes, reconocimientos de vidrio, trofeos de tubos y mármol, plaquetas de bronce y mármol.
Somos una empresa que atiende al mercado guatemalteco y centroamericano. Visite nuestro showroom en la fábrica o le enviamos a nuestros vendedores. Síganos en nuestra página de facebook,  instagram como trofeos finos,  o nuestra página web.",deportes
119,Eurobike S.A.,Guatemala - Guatemala,27 Avenida 33-80 Zona 12 Santa Elisa Bodega # 10,(+502) 2442 4825,eurobikegt.com,"Nos hemos caracterizado por ofrecer una gran variedad de productos de excelente calidad; gracias a esto, nuestras bicicletas son vendidas en los almacenes de cadena más importantes del país.
10 años de exitosa trayectoria en la distribución de bicicletas y juguetes. Desde que iniciamos nuestras actividades comerciales,  nos hemos caracterizado por ofrecer una gran variedad de productos de excelente calidad; gracias a esto,  nuestras bicicletas son vendidas en los almacenes de cadena más.",deportes
120,Cosenza Academy,San José Pinula - Guatemala,"Km 18.9 Carretera A San José Pinula, C.C. la Plazoleta Ciudad de Guatemala",(+502) 6637 5035,www.cosenzaacademy.com,"Buscamos poder contribuir a la formación integral de tu familia.la única escuela certificada en Guatemala de Jiu-jitsu por la Gracie University de Torrance, California.
Ofrecemos programas certificados,  normados y acreditados en defensa personal Karate,  Gracie,  Jiu - Jitsu,  MMA,  ArtesMarciales Mixtas,  Defensa Para Mujeres,  Antibullying,  Defensa Para Niños,  Jiu - Jitsu para niños.Plan Débito Automático (Inscripción Gratis)",deportes
121,Forrest Running Shop,Guatemala - Guatemala,"Av, las Americas 6-78 Edificio ""el Uno"" Zona 13 Local 3",,www.forrestrunningshop.com,,deportes
